Principal Component	Explained Variance	Cumulative Variance
1	0.5919282743926472	0.5919282743926472
2	0.05309346866718329	0.6450217430598305
3	0.03273900260489432	0.6777607456647248
4	0.022799087001248178	0.700559832665973
5	0.021562222023697543	0.7221220546896705
6	0.02028610421036705	0.7424081589000375
7	0.016790300482014627	0.7591984593820521
8	0.014629556759026188	0.7738280161410783
9	0.014264836103764753	0.788092852244843
10	0.014166155194030786	0.8022590074388738
11	0.013398189346427771	0.8156571967853016
12	0.012319586240051045	0.8279767830253526
13	0.010950620031985285	0.8389274030573379
14	0.010519858994956431	0.8494472620522944
15	0.009895588901257623	0.859342850953552
16	0.009210772328976227	0.8685536232825283
17	0.008263151223318856	0.8768167745058472
18	0.008105338364049607	0.8849221128698967
19	0.007083806522931897	0.8920059193928287
20	0.006880469211550874	0.8988863886043795
21	0.006541005176976497	0.9054273937813561
22	0.006224056986561672	0.9116514507679178
23	0.00574134354752206	0.9173927943154399
24	0.005399209165457948	0.9227920034808978
25	0.0051551669398218845	0.9279471704207197
26	0.004995006680342949	0.9329421771010626
27	0.00480257917765325	0.9377447562787159
28	0.004652774762597834	0.9423975310413137
29	0.004229762341620482	0.9466272933829343
30	0.0038620756015637155	0.950489368984498
31	0.003503795821851901	0.9539931648063499
32	0.0032692565083684406	0.9572624213147183
33	0.0030955467901873815	0.9603579681049057
34	0.0028688805977065738	0.9632268487026123
35	0.002626334019276105	0.9658531827218885
36	0.0024278290357955495	0.968281011757684
37	0.002327843725632768	0.9706088554833168
38	0.002236327483361961	0.9728451829666788
39	0.0020845654921847695	0.9749297484588635
40	0.002011297102684941	0.9769410455615485
41	0.0017542295701414269	0.9786952751316899
42	0.0017377619702359079	0.9804330371019258
43	0.00159549279802364	0.9820285298999494
44	0.0014934101089872235	0.9835219400089366
45	0.001430591302151695	0.9849525313110883
46	0.0013226052673320607	0.9862751365784204
47	0.0011757681123529076	0.9874509046907732
48	0.0010812888420396228	0.9885321935328129
49	0.0010144025543106078	0.9895465960871235
50	0.0009476479275109885	0.9904942440146345
51	0.0008983980932164767	0.9913926421078509
52	0.0007857504742755405	0.9921783925821265
53	0.0007570340868311477	0.9929354266689576
54	0.0007053139254668778	0.9936407405944245
55	0.0006492312488264512	0.994289971843251
56	0.0005887117405010545	0.994878683583752
57	0.0005738499856423277	0.9954525335693943
58	0.0004562118801448238	0.9959087454495391
59	0.00041177759110017494	0.9963205230406393
60	0.0003749873139088535	0.9966955103545482
61	0.0003373376893864558	0.9970328480439347
62	0.0002933618986627895	0.9973262099425975
63	0.00029293703450251413	0.9976191469771
64	0.0002451459226865412	0.9978642928997865
65	0.00023080464001045951	0.998095097539797
66	0.00020697686229461992	0.9983020744020916
67	0.0002000384904226255	0.9985021128925142
68	0.00018525906450724482	0.9986873719570215
69	0.00015271824687241057	0.998840090203894
70	0.00014507583827815825	0.9989851660421721
71	0.00013464704696000766	0.9991198130891321
72	0.00011863234067618111	0.9992384454298083
73	0.00010765420012052929	0.9993460996299288
74	9.83227539031007e-05	0.9994444223838319
75	8.580309726436257e-05	0.9995302254810963
76	7.548049307965973e-05	0.999605705974176
77	6.725658596222317e-05	0.9996729625601382
78	6.443219571027182e-05	0.9997373947558484
79	5.467349831155629e-05	0.99979206825416
80	4.358538649523368e-05	0.9998356536406552
81	3.874370283575619e-05	0.9998743973434909
82	3.250905945057759e-05	0.9999069064029416
83	2.7026858364779698e-05	0.9999339332613063
84	2.383006901197729e-05	0.9999577633303183
85	1.6586996879192553e-05	0.9999743503271975
86	1.4357465275377623e-05	0.9999887077924728
87	1.1292207527619704e-05	1.0000000000000004
88	1.1673726859082378e-31	1.0000000000000004
